Nome_Do_Carro,ValorEuros,Marca,TipoCombustivel,Quilometragem,Cilindrada,PotenciaMotor,TipoCarro,CaixaDeVelocidades,Ano
opel corsa 1 0 t dynamic,12700,opel,gaz,21832,999,90,city-car,manual,2018
volvo xc 60 2 0 d4 inscription geartronic,46800,volvo,diesel,98200,1969,190,suv,automatic,2019
ford focus sw 1 6 tdci titanium,8990,ford,diesel,154619,1560,115,combi,manual,2011
smart fortwo 1 0 passion 71 aut,10490,smart,gaz,59356,999,71,city-car,automatic,2016
bmw 320 d,15000,bmw,diesel,201000,1995,177,coupe,manual,2010
mazda mx5 1 8,16500,mazda,gaz,136000,1840,131,cabrio,manual,1994
citron ds3 1 6 hdi airdream so chic,9990,citroen,diesel,145000,1560,92,city-car,manual,2011
renault mgane sport tourer 1 5 dci intens,17250,renault,diesel,158487,1461,110,combi,manual,2016
peugeot 2008 1 5 bluehdi gt,29500,peugeot,diesel,10576,1499,110,suv,manual,2021
porsche 930,200000,porsche,gaz,61350,3299,231,cabrio,manual,1989
peugeot e2008 gt line,37490,peugeot,electric,14730,500,136,suv,automatic,2021
renault clio break,10900,renault,diesel,142000,1461,90,city-car,manual,2015
volvo v40 2 0 d2 rdesign,23200,volvo,diesel,82600,1969,120,compact,manual,2017
hyundai santa fe 2 2 crdi premium,47950,hyundai,diesel,20088,2199,200,suv,automatic,2020
datsun fairlady,44000,datsun,gaz,1000,1600,96,cabrio,manual,1969
vw up,12980,vw,gaz,32995,999,60,city-car,automatic,2018
vw polo 1 0 conceptline,1750,vw,gaz,204000,999,50,city-car,manual,2001
mercedesbenz c 220 d avantgarde aut,29900,mercedes-benz,diesel,100000,2143,170,sedan,automatic,2016
opel corsa,3200,opel,diesel,179000,1248,75,city-car,manual,2008
bmw 418 gran coup d pack m,24500,bmw,diesel,157000,1995,150,sedan,manual,2016
seat ibiza 1 2 12v style,8000,seat,gaz,132502,1198,70,compact,manual,2011
bmw m550d xdrive auto,65750,bmw,diesel,104000,2993,400,combi,automatic,2017
toyota chr 1 8 hybrid exclusive p luxury,35250,toyota,hibride-gaz,21500,1798,122,suv,automatic,2021
bmw 420 gran coup d pack m auto,32000,bmw,diesel,170000,1995,184,sedan,automatic,2015
opel karl,9990,opel,gpl,74378,999,75,compact,manual,2016
bmw 525 d,10750,bmw,diesel,203000,2497,177,sedan,manual,2005
vw scirocco 2 0 tdi sport,20990,vw,diesel,131000,1968,140,coupe,manual,2014
abarth 595 1 4 tjet competizione,29900,abarth,gaz,5100,1368,180,mini,manual,2020
citron c3 1 1 sx pack,4750,citroen,gaz,126000,1124,61,city-car,manual,2007
renault clio sport tourer 1 5 dci confort,8500,renault,diesel,198000,1461,90,combi,manual,2015
smart fortwo electric drive passion,18499,smart,electric,23020,1000,82,city-car,automatic,2020
mini countryman cooper auto,29900,mini,gaz,51693,1499,136,compact,automatic,2019
audi a4 avant,7900,audi,diesel,299732,1896,130,combi,manual,2002
fiat 500 1 2 sport,8000,fiat,gaz,72500,1242,69,mini,manual,2010
kia optima 1 7 crdi tx,16990,kia,diesel,90000,1685,136,sedan,manual,2014
renault laguna break 2 0 dci dynamique s 4control 120g,9300,renault,diesel,260000,1995,150,combi,manual,2013
seat leon,11990,seat,diesel,177256,1598,105,combi,manual,2014
mazda 6 2 0 mzrcd comfort,4990,mazda,diesel,247827,1998,120,sedan,manual,2003
audi a4 avant 2 0 tdi sport,26850,audi,diesel,130000,1968,150,combi,manual,2016
mini john cooper works,16950,mini,gaz,130000,1598,211,city-car,manual,2012
ferrari f430,175000,ferrari,gaz,64000,4308,490,cabrio,automatic,2010
toyota hilux 2 4 d ln90l xcab,7250,toyota,diesel,132000,2446,83,suv,manual,1997
renault captur 1 0 tce intens,22000,renault,gaz,10678,999,90,suv,manual,2021
toyota prius 1 8 luxury,32000,toyota,hibride-gaz,38144,1798,136,minivan,automatic,2019
vw golf,15990,vw,diesel,130000,1598,105,compact,automatic,2015
volvo xc 40 2 0 d4 rdesign awd,39900,volvo,diesel,32867,1969,190,suv,automatic,2018
audi a4 1 9 tdi m6 sport,5500,audi,diesel,280000,1896,130,sedan,manual,2004
vw golf 2 0 tdi gtd dsg,15000,vw,diesel,208946,1968,170,compact,automatic,2009
dacia duster 1 2 tce prestige,13750,dacia,gaz,107000,1197,125,suv,manual,2014
citron berlingo,6500,citroen,diesel,363248,1560,90,combi,manual,2011
peugeot 208 1 6 bluehdi style,12990,peugeot,diesel,108719,1560,100,compact,manual,2016
renault clio 1 2 16v confort,6490,renault,gaz,203000,1149,75,city-car,manual,2008
citron ds3 1 6 thp sport chic,9250,citroen,gaz,88000,1598,156,city-car,manual,2010
mini cooper d,10950,mini,diesel,194000,1560,110,city-car,manual,2010
ford smax 1 8 tdci titanium 5l,8000,ford,diesel,183716,1753,125,minivan,manual,2006
opel astra caravan 1 4i 16v club,390,opel,gaz,267000,1389,90,combi,manual,1996
vw id 3 pro performance 1st plus,45500,vw,electric,10700,500,204,suv,automatic,2020
audi a5 sportback 2 0 tdi sport,36900,audi,diesel,84000,1968,190,sedan,manual,2018
seat arona,19990,seat,gaz,20958,999,95,suv,manual,2020
citron c3 aircross 1 2 puretech cseries,21750,citroen,gaz,13000,1199,110,city-car,manual,2021
nissan qashqai 1 5 dci nconnecta,21500,nissan,diesel,56203,1461,110,suv,manual,2016
renault mgane sport tourer 1 5 dci zen,16600,renault,diesel,129757,1461,110,combi,manual,2018
seat arona 1 0 tsi style,19990,seat,gaz,25622,999,110,suv,manual,2021
bmw 320,18000,bmw,diesel,265000,1995,177,cabrio,manual,2008
fiat seicento sx,650,fiat,gaz,117000,899,39,mini,manual,2001
seat ibiza 1 0 tsi fr,17950,seat,gaz,2458,999,95,city-car,manual,2021
mini cooper d,9900,mini,diesel,172250,1598,90,city-car,manual,2011
toyota corolla touring sports 2 0 hybrid luxury white,31500,toyota,hibride-gaz,37029,1987,184,combi,automatic,2019
fiat panda 1 3 16v mjet 4x4 cross,4750,fiat,diesel,125000,1248,75,mini,manual,2010
renault mgane 1 5 dci zen,13999,renault,diesel,137000,1461,90,compact,manual,2016
mini john cooper works standard,15900,mini,gaz,160000,1598,211,city-car,manual,2011
toyota yaris 1 0 vvti comfort,16250,toyota,gaz,30666,998,72,city-car,manual,2020
mercedesbenz a 180 d amg line aut,31500,mercedes-benz,diesel,180000,1461,116,city-car,automatic,2018
fiat 500 0 9 8v twinair sport,8450,fiat,gaz,129000,875,85,city-car,manual,2011
bmw 120 d,15900,bmw,diesel,193131,1995,177,coupe,manual,2009
mercedesbenz a 200 cdi be urban aut,21500,mercedes-benz,diesel,92000,2143,136,compact,automatic,2014
opel corsa 1 3 cdti enjoy ecoflex,6500,opel,diesel,140625,1248,75,city-car,manual,2010
renault zoe life,10400,renault,electric,58100,,88,mini,automatic,2016
bmw 650 gran coup i xdrive pack m,45000,bmw,gaz,91098,4395,450,coupe,automatic,2014
fiat 500l 1 3 mj trekking s s,9999,fiat,diesel,164000,1248,85,combi,manual,2013
dacia lodgy 1 5 dci confort 7l,11850,dacia,diesel,139000,1461,109,minivan,manual,2013
toyota aygo 1 0 ac,5990,toyota,gaz,129000,998,68,city-car,manual,2006
volvo xc 70,6850,volvo,diesel,360795,2401,163,suv,automatic,2002
mercedesbenz a 200 cdi be amg line,19490,mercedes-benz,diesel,169,2143,136,city-car,manual,2014
bmw 420 gran coup d pack m auto,27900,bmw,diesel,57885,1995,184,compact,automatic,2014
bmw 840 gran coup d xdrive pack m,99900,bmw,diesel,43341,2993,340,sedan,automatic,2021
mercedesbenz cla 180 cdi amg line aut,22850,mercedes-benz,diesel,185000,1461,109,coupe,automatic,2014
nissan micra 1 5 dci nconnecta s s,13990,nissan,diesel,124473,1461,90,compact,manual,2018
mazda mx3 1 8,5950,mazda,gaz,167000,1845,136,coupe,manual,1993
seat ibiza 1 2 12v stylance,4950,seat,gaz,207820,1198,70,city-car,manual,2008
seat tarraco 2 0 tdi fr dsg,38000,seat,diesel,12942,1968,150,minivan,automatic,2021
seat ibiza 1 0 style,15390,seat,gaz,23450,999,80,compact,manual,2021
infiniti q30,24490,infiniti,diesel,1,2143,170,city-car,automatic,2017
mercedesbenz c 250 d avantgarde aut,31950,mercedes-benz,diesel,111005,2143,204,combi,automatic,2015
vw polo 1 2 confortline,6250,vw,gaz,110000,1198,70,compact,manual,2007
seat leon 1 0 ecotsi style s s,18700,seat,gaz,18708,999,115,city-car,manual,2019
nissan leaf acenta,14900,nissan,electric,83000,,109,compact,automatic,2017
peugeot 308 sw,15900,peugeot,diesel,121000,1560,120,combi,manual,2016
renault talisman sport tourer 1 5 dci zen,22250,renault,diesel,55739,1461,110,combi,manual,2018
renault zoe zen 50 flex,25900,renault,electric,25000,,109,mini,automatic,2021
opel astra sports tourer 1 6 cdti cosmo s sj18,16250,opel,diesel,112757,1598,110,combi,manual,2016
alfa romeo 159 sportwagon 1 9 jtdm 16v sportiva,8000,alfa-romeo,diesel,238000,1910,150,combi,manual,2008
mazda 2 1 3 mzr exclusive,5500,mazda,gaz,182455,1349,75,compact,manual,2010
nissan qashqai 1 2 digt nconnecta rs ps 18,22900,nissan,gaz,43734,1197,115,suv,manual,2017
bmw 116 d edynamics advantage,19490,bmw,diesel,47101,1496,116,compact,manual,2017
audi a5 2 0 tdi business line sline,25500,audi,diesel,103000,1968,190,coupe,manual,2015
renault mgane coupe 1 5 dci dynamique s,7950,renault,diesel,213000,1461,110,coupe,manual,2011
bmw 116 d edynamics line sport,17500,bmw,diesel,134909,1598,116,city-car,manual,2016
peugeot 308 sw 1 5 bluehdi style,18490,peugeot,diesel,133975,1499,130,combi,manual,2018
land rover discovery 2 5 td5,16800,land-rover,diesel,315000,2495,136,suv,manual,1999
audi q2 1 6 tdi,24799,audi,diesel,89455,1598,116,suv,manual,2017
bmw x1 20 d xdrive auto xline,34000,bmw,diesel,96889,1995,190,suv,automatic,2016
renault mgane break 1 5 dci c authentique,3950,renault,diesel,210000,1461,80,combi,manual,2003
peugeot 207 1 6 hdi sport,7749,peugeot,diesel,229736,1560,109,city-car,manual,2007
seat ibiza 1 2 12v stylance,6500,seat,gaz,117000,1198,70,city-car,manual,2009
infiniti q70,25500,infiniti,diesel,142500,2200,170,sedan,automatic,2015
mercedesbenz c 300 h avantgarde,37900,mercedes-benz,hibride-diesel,82012,2143,231,combi,automatic,2018
ford focus 1 0 ecoboost active aut,20490,ford,gaz,33588,998,125,compact,automatic,2019
vw golf 2 0 tdi highline,18900,vw,diesel,166000,1968,150,coupe,manual,2013
peugeot 3008,23880,peugeot,diesel,135600,1500,130,suv,automatic,2019
mercedesbenz c 220 cdi be,21990,mercedes-benz,diesel,166800,2143,170,coupe,manual,2012
citron c5 x 1 6 hybrid shine pack eeat8,52000,citroen,hibride-gaz,5,1598,225,sedan,automatic,2022
mercedesbenz gla 220 d amg line,55800,mercedes-benz,diesel,39919,2143,170,suv,automatic,2019
peugeot 3008 1 6 bluehdi gt line eat6,24990,peugeot,diesel,140000,1560,120,suv,automatic,2017
nissan qashqai,22900,nissan,diesel,116167,1500,110,suv,manual,2018
volvo v60 2 4 d6 rdesign awd phev,23965,volvo,hibride-diesel,191000,2400,286,combi,automatic,2015
renault mgane break 1 5 dci c dynamique,3250,renault,diesel,243000,1461,80,combi,manual,2003
opel adam 1 4 glam easytronic,13900,opel,gaz,100000,1398,90,city-car,automatic,2018
renault clio sport tourer,13950,renault,diesel,124785,1461,95,combi,manual,2017
opel astra 1 6 cdti innovation s s,15500,opel,diesel,113000,1598,110,city-car,manual,2018
vw golf 1 6 tdi trendline bluemotion,11890,vw,diesel,140000,1598,105,compact,manual,2010
mercedesbenz a 180 d amg line aut,24750,mercedes-benz,diesel,92567,1461,109,compact,automatic,2017
honda jazz 1 2 ivtec trend,10500,honda,gaz,82000,1198,90,city-car,manual,2013
bmw 330,31450,bmw,hibride-gaz,80600,1998,252,sedan,automatic,2018
peugeot 107 1 0 urban,7450,peugeot,gaz,13278,998,68,mini,manual,2013
bmw 116 d efficientdynamics,11500,bmw,diesel,195000,1598,116,city-car,manual,2012
vw tiguan 2 0 tdi highline,30990,vw,diesel,63654,1968,150,suv,manual,2017
mercedesbenz a 180 d amg line aut,29500,mercedes-benz,diesel,51000,1461,116,compact,automatic,2018
mercedesbenz e 300 de amg line,59999,mercedes-benz,hibride-diesel,21419,1950,306,sedan,automatic,2019
nissan qashqai 1 5 dci acenta,17250,nissan,diesel,164247,1461,110,suv,manual,2017
bmw 225xe active tourer advantage,24450,bmw,hibride-gaz,53686,1499,224,minivan,automatic,2017
peugeot 308 sw 1 5 bluehdi style,19000,peugeot,diesel,118225,1499,130,combi,manual,2019
audi q5 55 tfsie quattro sport s tronic,65000,audi,hibride-gaz,19340,1984,367,suv,automatic,2019
opel corsa 1 2l08 l68,6750,opel,gaz,76000,1229,86,city-car,manual,2011
fiat tipo 1 3 mjet lounge,11290,fiat,diesel,115600,1248,95,sedan,manual,2016
toyota aygo 1 0 mmt,6690,toyota,gaz,120000,998,68,city-car,automatic,2006
skoda octavia break 2 0tdi16v,6000,skoda,diesel,320000,1968,140,combi,manual,2007
bmw m2 competition auto,69000,bmw,gaz,46900,2979,410,coupe,automatic,2020
renault mgane sport tourer 1 5 dci zen,15250,renault,diesel,83400,1461,110,combi,manual,2018
bmw x1 18 d sdrive,15500,bmw,diesel,139000,1995,143,suv,manual,2010
toyota iq,6980,toyota,gaz,135195,960,68,city-car,manual,2009
jeep renegade 1 6 mjd limited,21900,jeep,diesel,67368,1598,120,suv,manual,2018
bmw 216 gran tourer d advantage,29900,bmw,diesel,25439,1496,116,minivan,manual,2021
toyota aygo 1 0 xplay plus mm,15990,toyota,gaz,5,998,72,city-car,automatic,2022
audi a3 sportback 1 6 tdi sline,22990,audi,diesel,170000,1598,116,compact,manual,2017
ford bronco 5 0 v8 custom,25000,ford,gaz,83000,5000,200,suv,automatic,1993
fiat idea 1 2 16v dynamic,3250,fiat,gaz,184600,1242,80,city-car,manual,2004
peugeot 308 1 5 bluehdi business line,21900,peugeot,diesel,20886,1499,102,compact,manual,2020
vw tcross 1 5 tsi style dsg,29000,vw,gaz,10000,1498,150,suv,automatic,2021
mercedesbenz c 300 d amg line,64950,mercedes-benz,diesel,6791,1992,265,sedan,automatic,2021
vw golf,8450,vw,gaz,148000,1395,110,compact,manual,2010
peugeot 3008 1 6 hybrid allure eeat8,40900,peugeot,hibride-gaz,14000,1598,225,suv,automatic,2021
ford fiesta 1 4 tdci trend,5500,ford,diesel,110536,1399,68,compact,manual,2008
volvo xc 60 2 0 d3 drive momentum,16450,volvo,diesel,142000,1984,163,suv,manual,2011
audi a5 2 0 tdi sport,18999,audi,diesel,157632,1968,163,compact,manual,2014
fiat 500 1 2 lounge,7950,fiat,gaz,125000,1242,69,mini,manual,2009
renault laguna 1 6 expression,3000,renault,gaz,89500,1598,110,sedan,manual,2002
mercedesbenz a 180 d amg line,38950,mercedes-benz,diesel,2500,1950,116,compact,manual,2021
vw new beetle 1 6 tdi design,14560,vw,diesel,196000,1598,105,compact,manual,2014
honda hrv 1 6idtecru8,22990,honda,diesel,50000,1597,120,suv,manual,2017
fiat 500c 1 2 lounge,12500,fiat,gaz,64730,1242,69,cabrio,manual,2015
mini cooper auto,21500,mini,gaz,96195,1499,136,city-car,automatic,2018
peugeot 108 top 1 2 vti allure,13200,peugeot,gaz,15000,1199,82,mini,manual,2015
opel zafira 2 0 dti life,6750,opel,diesel,181381,1995,100,minivan,manual,2005
mitsubishi pajero 2 5tdicv44w v24w,6900,mitsubishi,diesel,296524,2477,99,suv,manual,1996
renault grand scnic 1 6 dci bose edition 7l,12950,renault,diesel,130000,1598,130,minivan,manual,2013
smart fortwo electric drive passion,18499,smart,electric,24593,1000,82,city-car,automatic,2020
fiat tipo station wagon 1 6 mjet lounge j17 dct,18650,fiat,diesel,91000,1598,120,combi,automatic,2018
opel grandland 1 6 t phev gs line,42750,opel,hibride-gaz,500,1598,225,suv,automatic,2022
fiat grande punto 1 3 mjet dynamic,5990,fiat,diesel,306363,1248,90,city-car,manual,2008
porsche boxster 2 7,23900,porsche,gaz,114000,2687,220,cabrio,manual,2002
audi a4 avant 2 0 tdi sline s tronic,29950,audi,diesel,154900,1968,150,combi,automatic,2018
peugeot 308 sw 1 2 puretech active pack,20900,peugeot,gaz,17530,1199,110,combi,manual,2021
peugeot 5008 1 6 bluehdi allure eat6,27800,peugeot,diesel,110000,1560,120,suv,automatic,2018
audi a1 sportback 1 6 tdi advance,12450,audi,diesel,170000,1598,90,city-car,manual,2013
audi a1 sportback,18500,audi,diesel,19900,1400,90,compact,manual,2016
renault mgane 1 5 dci gt line ss,9990,renault,diesel,218000,1461,110,compact,manual,2012
mercedesbenz e 220 d avantgarde,29990,mercedes-benz,diesel,190000,1950,194,sedan,automatic,2017
citron c5 1 6 hdi vtr,6750,citroen,diesel,203000,1560,110,sedan,manual,2008
renault mgane 1 5 blue dci intens,23999,renault,diesel,7200,1461,115,compact,manual,2021
citron ds4 1 6 ehdi so chic,10750,citroen,diesel,210000,1560,115,compact,manual,2014
citron c4 cactus 1 2 puretech feel eat6,16490,citroen,gaz,44598,1199,110,compact,automatic,2018
ford focus sw 1 4 sport,4500,ford,gaz,125000,1388,80,combi,manual,2006
bmw 116 d edynamics line sport,15750,bmw,diesel,157000,1598,116,compact,manual,2014
mercedesbenz clk 200 kompressor avantgarde,8100,mercedes-benz,gaz,190000,1998,163,coupe,manual,2003
seat arona 1 0 tsi style,20450,seat,gaz,3000,999,95,suv,manual,2021
peugeot 3008 1 6 bluehdi active,24990,peugeot,diesel,91300,1560,120,suv,manual,2017
ford mondeo sw 1 6 tdci titanium,10900,ford,diesel,172003,1560,115,combi,manual,2012
citron celyse 1 6 hdi exclusive,10900,citroen,diesel,87763,1560,92,sedan,manual,2014
opel corsa 1 0 swing,1750,opel,gaz,112000,993,45,city-car,manual,1987
renault clio,4990,renault,diesel,240737,1461,1,sedan,manual,2011
mini cooper sd,18650,mini,diesel,164000,1995,143,city-car,manual,2012
bmw 116 d corporate edition,29990,bmw,diesel,58000,1496,116,compact,manual,2020
citron c4 cactus 1 6 bluehdi feel,13900,citroen,diesel,108281,1560,100,compact,manual,2017
peugeot 3008,28900,peugeot,diesel,108988,1498,130,suv,manual,2019
peugeot 208 1 2 puretech signature,14000,peugeot,gaz,68803,1199,82,compact,manual,2019
citron c1 1 0 x airdream,5350,citroen,gaz,130000,998,68,city-car,manual,2011
smart fortwo electric drive passion,18499,smart,electric,24103,1000,82,city-car,automatic,2020
peugeot 208 1 0 vti active,8950,peugeot,gaz,129980,999,68,city-car,manual,2013
fiat 500 1 2 lounge s s,12400,fiat,gaz,45801,1242,69,city-car,manual,2017
mercedesbenz c 200 d avantgarde aut,41000,mercedes-benz,diesel,24320,1598,160,combi,automatic,2020
audi a3 sportback 1 2 tfsi attraction,9950,audi,gaz,130000,1197,105,compact,manual,2010
mercedesbenz a 180 d progressive aut,37500,mercedes-benz,diesel,32000,1950,116,compact,automatic,2021
audi a3 sportback 1 6 tdi,19990,audi,diesel,110000,1598,110,sedan,manual,2017
mercedesbenz c 300 de amg line,61950,mercedes-benz,hibride-diesel,9000,1950,306,combi,automatic,2021
fiat 500 1 2 pop,10250,fiat,gaz,66825,1242,69,mini,manual,2016
smart forfour electric drive prime,18900,smart,electric,18900,,82,cabrio,automatic,2019
peugeot 208 1 6 bluehdi style,12300,peugeot,diesel,72898,1560,75,city-car,manual,2017
saab 900 cabrio turbo,24500,saab,gaz,84000,1984,175,cabrio,manual,1992
volvo xc 60 2 0 d4 momentum,34800,volvo,diesel,54500,1969,190,suv,manual,2016
smart forfour,18500,smart,electric,24992,500,82,cabrio,automatic,2019
peugeot 2008 1 2 puretech signature,17350,peugeot,gaz,38906,1199,110,suv,manual,2019
hyundai i20 1 1 crdi access bluetooth,13500,hyundai,diesel,77000,1120,75,city-car,manual,2017
opel corsa 1 3 cdti dynamic,11490,opel,diesel,84000,1248,95,compact,manual,2017
fiat punto 0 9 8v twinair lounge start stop,7990,fiat,gaz,124931,875,85,city-car,manual,2013
bmw 120 d,16500,bmw,diesel,1850266,1995,177,coupe,manual,2009
mercedesbenz c 220,5500,mercedes-benz,diesel,250000,2148,143,combi,automatic,2000
hyundai i20 1 1 crdi comfort,11190,hyundai,diesel,115599,1120,75,compact,manual,2017
mitsubishi asx 1 6 did intense black edition,19800,mitsubishi,diesel,110300,1560,114,suv,manual,2017
peugeot 208 1 6 ethp gti,17900,peugeot,gaz,90000,1598,208,city-car,manual,2016
opel corsa 1 3 cdti business edition,13900,opel,diesel,117125,1248,95,city-car,manual,2017
mercedesbenz a 180 cdi be edition style,17990,mercedes-benz,diesel,155960,1461,109,compact,manual,2015
tesla model 3 performance dual motor awd,52900,tesla,electric,33245,,513,sedan,automatic,2019
peugeot 206 1 4 hdi colorline,1599,peugeot,diesel,352000,1398,68,city-car,manual,2003
renault clio 1 5 dci confort,10950,renault,diesel,180000,1461,90,city-car,manual,2015
bmw 116 d edynamics advantage,23250,bmw,diesel,85178,1496,116,compact,manual,2017
volvo v60 2 0 d2 rdesign,29900,volvo,diesel,36500,1969,120,combi,manual,2018
renault mgane cc 1 5 dci gt line ss,17000,renault,diesel,94000,1461,110,cabrio,manual,2014
volvo v90 2 0 t8 phev rdesign awd,64400,volvo,hibride-gaz,2000,1969,392,combi,automatic,2021
abarth 595c 1 4 tjet pista mta,24990,abarth,gaz,18000,1368,160,cabrio,automatic,2017
mercedesbenz cla 180 d amg line,23990,mercedes-benz,diesel,75000,1461,109,sedan,manual,2017
renault clio 1 2 tce dynamique s,4150,renault,gaz,180000,1149,100,city-car,manual,2008
citron ec4 feel pack,42500,citroen,electric,5,1200,136,sedan,automatic,2022
porsche macan,95500,porsche,gaz,17001,1984,265,suv,automatic,2021
bmw 320,13350,bmw,diesel,237000,1995,177,coupe,automatic,2007
renault clio 1 5 dci extreme,2590,renault,diesel,262000,1461,100,city-car,manual,2005
bmw 116 d advantage,25990,bmw,diesel,27325,1496,116,sedan,manual,2020
renault captur 1 5 dci exclusive xmod,17900,renault,diesel,113000,1461,110,suv,manual,2018
peugeot 206 sw,2600,peugeot,gaz,177000,1360,75,combi,manual,2002
renault laguna break 1 9 dci dynamique,2500,renault,diesel,265880,1870,120,combi,manual,2005
ford mustang mache alargada awd,67900,ford,electric,8900,,351,suv,automatic,2021
renault mgane 1 5 dci intens,19400,renault,diesel,113273,1461,110,compact,manual,2017
peugeot 5008 1 6 bluehdi gt line grip control eat6,25550,peugeot,diesel,168841,1560,120,minivan,automatic,2017
vw polo,13950,vw,diesel,96221,1422,90,city-car,manual,2015
renault captur 0 9 tce,16250,renault,gaz,39990,898,90,suv,manual,2015
ford fiesta 1 0 tivct titanium,8990,ford,gaz,105300,998,80,city-car,manual,2014
bmw 118,31850,bmw,gaz,22248,1499,136,compact,automatic,2021
hyundai i20 1 1 crdi one,8970,hyundai,diesel,154618,1120,75,city-car,manual,2014
peugeot 508 sw 1 6 ehdi allure 2tronic 105g,12500,peugeot,diesel,229000,1560,115,combi,automatic,2013
mercedesbenz glc 300,78500,mercedes-benz,hibride-diesel,9700,1950,320,coupe,automatic,2021
renault mgane break 1 5 dci dynamique luxe,2850,renault,diesel,355718,1461,85,combi,manual,2006
bmw 116 d advantage auto,17950,bmw,diesel,132000,1496,116,compact,automatic,2017
mercedesbenz slk 200 k,20980,mercedes-benz,gaz,81032,1796,183,cabrio,manual,2010
renault zoe life 40 flex,14490,renault,electric,35000,,92,mini,automatic,2016
renault clio,13490,renault,diesel,150307,1461,95,compact,manual,2018
microcar m go,11450,microcar,diesel,9000,492,8,city-car,automatic,2020
audi a4 avant 2 0 tdi business line plusmultitronic,12990,audi,diesel,289000,1968,143,combi,automatic,2011
vw scirocco 1 4 tsi sport,10990,vw,gaz,165000,1395,125,coupe,manual,2010
vw golf 2 0 tdi confortline dsg,19000,vw,diesel,130000,1968,150,compact,automatic,2015
peugeot 2008 1 5 bluehdi allure,19750,peugeot,diesel,138141,1499,102,suv,manual,2019
renault zoe limited 40,23299,renault,electric,14580,400,109,mini,automatic,2020
peugeot e2008 allure,34990,peugeot,electric,17872,500,136,suv,automatic,2020
bmw z3,22500,bmw,gaz,139491,2172,163,cabrio,automatic,2002
peugeot 3008 2 0 bluehdi gt line,26450,peugeot,diesel,166000,1997,150,suv,manual,2018
bmw 116 d edynamics advantage,17950,bmw,diesel,151000,1496,116,compact,manual,2017
vw passat variant 1 9 tdi confortline,5450,vw,diesel,259000,1896,100,combi,manual,2004
volvo v50 1 6 d kinetic,7750,volvo,diesel,160000,1560,109,combi,manual,2008
ford focus sw 1 4 sport,2900,ford,gaz,224000,1388,80,combi,manual,2005
citron c4 grand picasso 1 6 bluehdi feel eat6,20900,citroen,diesel,138000,1560,120,minivan,automatic,2017
toyota corolla hatchback 1 3 xli,1665,toyota,gaz,146100,1332,88,sedan,manual,1993
renault mgane sport tourer 1 5 dci intens,18200,renault,diesel,50154,1461,110,combi,manual,2017
peugeot 108 1 0 vti style,12750,peugeot,gaz,16200,998,72,mini,manual,2021
seat leon,10500,seat,diesel,155350,1598,105,compact,manual,2010
smart fortwo 1 0 71 passion,10990,smart,gaz,84250,999,71,mini,manual,2017
